Code,Reason,Reason Type,Application,Responsibilities,Purpose,Key Principles,Acceptable Outcomes,Remedy,Day 0,Day 3,Day 7 ,Day 10,Extra Cadence,escelation
E007,ABN/GST error,Compliance,Use when an invoice contains an inactive or missing ABN; ABN does not match supplier records; GST is charged by a non-registered supplier; or GST is missing or incorrectly calculated,Bill Processor rejects invoice with ABN/GST Issue; Supplier submits corrected invoice; Portal records actions and notifies stakeholders,Ensure invoices comply with ATO ABN and GST requirements,Valid ABN required; GST only charged by registered suppliers; non-compliant invoices rejected before processing; actions documented in Portal,Corrected invoice submitted; ABN or GST status updated,Advise invoice rejected and client notified; provide guidance on correction,Supplier: Invoice placed on hold due to ABN/GST issue; corrected invoice requested.Client: Notified invoice delayed due to supplier compliance issue.,Supplier: Reminder to submit corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E008,Calculation error,Compliance,Use when unit rates multiplied by quantities do not equal line totals; subtotal plus GST does not equal invoice total; or rounding errors create discrepancies,Bill Processor places invoice on hold; Compliance liaises with supplier; Supplier submits corrected invoice,Prevent overpayment or underpayment due to mathematical errors,Invoices must be mathematically accurate; reject only after 10 days unresolved; actions documented,Corrected invoice submitted,Reject after Day 10 and notify client,Supplier: Invoice placed on hold due to calculation error; corrected invoice requested.Client: Notified invoice delayed.,Supplier: Reminder to submit corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E009,Client name,Compliance,"Use when client name is missing, generic, illegible, misspelled, or replaced with a reference code",Bill Processor rejects invoice with Client Name Issue; Supplier submits corrected invoice,Ensure invoices are attributable to the correct client,Client name mandatory; no payment without correct identification; actions documented,Corrected invoice submitted,Advise rejection and notify client,Supplier: Invoice placed on hold due to missing or incorrect client name; corrected invoice requested.Client: Notified invoice delayed.,Supplier: Reminder to submit corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E010,Itemisation,Compliance,Use when invoice does not show service date; units or hours; unit rate; or service type per line,Bill Processor rejects invoice; Supplier submits fully itemised invoice,Ensure transparency and auditability of services,Clear itemisation required; lump sums not accepted; actions documented,Itemised invoice submitted,Advise rejection and provide itemisation guidance,Supplier: Invoice placed on hold due to insufficient itemisation; itemised invoice requested.Client: Notified invoice delayed.,Supplier: Reminder to submit itemised invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E011,Exceeds master price list,Compliance,Use when invoice unit rate exceeds approved Support at Home price list without documented client consent,Bill Processor places invoice on hold; Compliance verifies pricing; Supplier provides acceptance or revised invoice,Protect clients from unapproved pricing,Rates must not exceed approved limits; reject after 10 days unresolved; actions documented,Approved rate confirmed or invoice corrected,Reject after Day 10 with Exceeds Master Price List,Supplier: Invoice placed on hold due to rate exceeding approved price list; evidence of client consent or revised invoice requested.Client: Notified pricing review required.,Supplier: Follow-up requesting consent evidence or corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.Client: Advised rejection pending if no resolution.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E020,Quarter end date,Compliance,Use when service dates fall outside the active quarterly funding period,Bill Processor verifies service date and quarter; Compliance confirms eligibility; Supplier amends invoice or confirms private billing,Ensure services are billed within correct funding quarter,Quarter dates apply strictly; reject after 10 days unresolved; actions documented,Invoice corrected to eligible quarter; private billing confirmed,Advise rejection under Quarter End Date Issue and explain quarter rules,Supplier: Invoice placed on hold due to service date outside current quarter.Client: Notified invoice under review due to quarter timing.,,Supplier: Final clarification request if service date correction possible.Client: Advised outcome pending.,Supplier: Invoice rejected if outside quarter.Client: Notified invoice rejected.,,Reject bill
E021,Funding period,Compliance,Use when service dates fall outside approved funding start or end dates or funding is exhausted,Bill Processor places invoice on hold; Compliance verifies funding status; Supplier amends invoice or confirms private billing,Prevent payment for services outside eligible funding period,Funding dates must be respected; reject after 10 days unresolved; actions documented,Invoice corrected; client elects private payment,Advise rejection under Funding Period Issue,Supplier: Invoice placed on hold due to service date outside approved funding period; amendment or confirmation of private billing requested.Client: Notified invoice delayed due to funding eligibility issue.,,,Supplier: Invoice rejected if service date remains ineligible.Client: Notified invoice rejected.,,Reject bill
E022,Supplier in progress,Compliance,Use when supplier registration is incomplete due to missing documents,Bill Processor places invoice on hold; Compliance checks outstanding requirements; Supplier completes registration,Ensure suppliers are verified before payment,Supplier registration mandatory; reject after 10 days unresolved; actions documented,Supplier completes registration and resubmits invoice,Advise rejection due to incomplete registration,Supplier: Invoice placed on hold due to incomplete supplier registration; outstanding documentation requested.Client: Notified invoice delayed due to supplier registration status.,,Supplier: Final reminder to complete registration requirements.,Supplier: Invoice rejected if registration not completed.Client: Notified invoice rejected.,,Reject bill
E023,Supplier not found,Compliance,Use when no registered supplier record is found for the provided ABN,Bill Processor places invoice on hold; Compliance attempts match; Supplier registers,Prevent payment to unverified suppliers,Supplier must be registered; reject after 10 days unresolved; actions documented,Supplier registers and resubmits invoice,Reject invoice and notify client and supplier,Supplier: Invoice placed on hold due to no registered supplier record; registration requested.Client: Notified invoice delayed due to supplier not registered.,,Supplier: Final reminder to register to enable payment.,Supplier: Invoice rejected if registration not completed.Client: Notified invoice rejected.,,Reject bill
E024,Supplier not registered for service type,Compliance,Use when supplier invoices for a service type they are not approved to provide,Bill Processor places invoice on hold; Compliance validates service registration; Supplier updates registration or amends invoice,Ensure services are delivered by authorised suppliers,Correct service registration required; reject after 10 days unresolved; actions documented,Supplier registration updated or invoice corrected,Reject under Supplier Not Registered for Service Type,Supplier: Invoice placed on hold due to supplier not approved for billed service type; registration update or revised invoice requested.Client: Notified invoice delayed due to supplier service eligibility issue.,,Supplier: Final reminder to update service registration or amend invoice.,Supplier: Invoice rejected if service type not approved.Client: Notified invoice rejected.,,Reject bill
E025,Supplier performance improvement,Compliance,Use when supplier is under active performance management or PIP,Accounts or Care Teams place invoice on hold; Compliance manages performance process,Protect client safety and service quality,Client safety priority; evidence-based escalation; actions documented,Performance issue resolved or supplier restricted,Advise outcome and next steps,Supplier: Invoice placed on hold due to active performance improvement or suspension.Client: Notified invoice delayed due to supplier performance review.,,,Supplier: Invoice rejected if supplier remains suspended.Client: Notified invoice rejected or service transition required.,Duration: No fixed timeframe; hold and review period determined by Compliance / Quality teams based on risk assessment.,Reject bill
E026,Supplier price increase,Compliance,Use when invoice includes a rate higher than approved pricing without prior approval,Bill Processor places invoice on hold; Compliance verifies pricing; Care Partner confirms client consent,Prevent unapproved price increases,Client approval required; reject after 10 days unresolved; actions documented,Client approves rate or invoice corrected,Reject under Price Increase – Not Approved,Supplier: Invoice placed on hold due to unapproved price increase; evidence of client consent or revised invoice requested.Client: Notified price approval required.,,Supplier: Final reminder to provide consent evidence or revised invoice.Client: Final reminder to confirm price approval.,Supplier: Invoice rejected if no approval received.Client: Notified invoice rejected.,Duration: Additional time may be allowed only where client engagement is active; no defined extension period specified.,Reject bill
E027,Supplier terminated,Compliance,Use when invoice is submitted for services dated after supplier termination date,Bill Processor rejects invoice; Compliance confirms termination; Care Team supports client transition,Prevent payment to terminated suppliers,No payment after termination date; immediate rejection if post-termination; actions documented,Invoice corrected for eligible dates only; client transitions supplier,Reject under Supplier Terminated,Supplier: Invoice cannot proceed due to supplier termination status.Client: Notified invoice delayed or cannot proceed due to supplier termination.,,,Supplier: Invoice rejected if service date is after termination date.Client: Notified invoice rejected and advised on alternative provider arrangements if required.,,Reject bill
E028,Itemisation required for contribution categories,Compliance,Use when multiple service types across contribution categories are bundled together,Bill Processor rejects invoice; Supplier resubmits itemised invoice,Ensure correct contribution category charging,Itemisation mandatory across contribution categories; no interpretation of bundled charges,Fully itemised invoice submitted,Reject under Services Not Itemised Across Contribution Categories,Supplier: Invoice rejected due to services bundled across contribution categories; itemised invoice required.Client: Notified invoice rejected due to invoicing non-compliance.,,,,,Reject bill
E029,Travel or transport not itemised,Compliance,"Use when transport charges are unclear, bundled, or incorrectly billed",Bill Processor places invoice on hold or rejects; Supplier corrects transport itemisation,Prevent incorrect transport charging,Transport must be itemised; staff travel not claimable; reject after 10 days unresolved,Corrected invoice submitted,Reject under Transport Not Itemised or Incorrect,Supplier: Invoice placed on hold due to incorrect or unclear transport charging; corrected invoice requested.Client: Notified invoice delayed due to transport billing issue.,,Supplier: Final reminder to submit corrected invoice.,Supplier: Invoice rejected if transport remains non-compliant.Client: Notified invoice rejected.,,Reject bill
B001,Insufficient balance,Compliance,Use when insufficient funds exist in the client Home Care Package and no prior arrangement is in place,Accounts places invoice on hold; Care Partner and Coordinator liaise with client; Finance processes voluntary contributions,Prevent payment when package funds are insufficient,Client given at least 7 days to respond; reject after Day 10; actions documented,Budget updated or voluntary contribution made,Advise rejection due to insufficient funds,Client: Notified invoice on hold due to insufficient funds; response required within 7 days.Coordinator: Notified.Supplier: Notified invoice on hold pending client response.,Client: Reminder to make arrangements.Coordinator: Notified.Supplier: Update provided.,Client: Final notice to make arrangements to avoid rejection.Coordinator: Notified.Supplier: Update provided.,Client: Invoice rejected due to insufficient funds.Coordinator: Notified.Supplier: Invoice rejected; advised to contact client directly.,Day 8: 48-hour extension granted to client to make arrangements before rejection.,Reject bill
B002,Service type not in budget,Compliance,Use when invoice is for an in-scope service not included in the approved client budget,Accounts places invoice on hold; Care Partner confirms service intent; Client confirms approval,Ensure services are funded only if budget-approved,Client given at least 7 days to respond; reject after Day 10; actions documented,Budget updated or client elects private payment,Advise rejection and offer budget review,Client: Notified service not included in approved budget; confirmation required within 7 days.Coordinator: Notified.Supplier: Notified invoice on hold pending client instruction.,Client: Reminder to confirm service intent.Coordinator: Notified.Supplier: Update provided.,Client: Final notice to confirm budget update or private payment.Coordinator: Notified.Supplier: Update provided.,Client: Invoice rejected due to no response.Coordinator: Notified.Supplier: Invoice rejected; advised to contact client directly.,Day 8: 48-hour extension granted to update care plan and budget before rejection.,Reject bill
A001,Coordinator approval required,Compliance,Use when invoice cannot proceed due to an exception requiring coordinator approval,Accounts places invoice on hold; Care Partner liaises; Coordinator approves or rejects,Ensure oversight for care or budget exceptions,Coordinator contacted first; reject after Day 10 unresolved; actions documented,Approval granted or invoice rejected,Advise rejection due to no approval received,Coordinator: Notified approval required for invoice to proceed.Client: Notified invoice on hold pending coordinator review.Supplier: Notified invoice on hold awaiting approval.,Coordinator: Reminder approval still required.Client: Notified invoice remains on hold.Supplier: Update provided.,Coordinator: Final reminder; advised invoice may be rejected if no response.Client: Notified next steps pending.Supplier: Update provided.,Coordinator: Invoice rejected due to no response.Client: Notified invoice rejected.Supplier: Invoice rejected; advised to follow up directly.,Day 8: Client given 48 hours to approve invoice directly before rejection.,Reject bill
,Insufficient balance,Care,Use when the client’s available package funds are insufficient to cover the invoiced service amount,"System: Auto communications issued on hold.Care Partner: Review quarterly budget allocation and current spend; check unspent funds; confirm service is approved in the client support plan; assess funding availability; communicate funding position to client and supplier; where funding is insufficient, communicate requirement for voluntary contribution to cover invoice amount; review client needs and alignment with available budget; consider whether a package level review is required; determine whether voluntary contribution is feasible.Billing: Reject invoice where sufficient funds or voluntary contribution cannot be confirmed.",Ensure invoices are not paid when package funding is insufficient while providing clients an opportunity to resolve funding gaps appropriately,Funding availability must be confirmed before payment; services must align with the approved support plan; voluntary contributions may be used where appropriate; invoices cannot proceed without confirmed funding,Funding availability confirmed; voluntary contribution agreed and documented; package review initiated; invoice rejected where funding cannot be resolved,Insufficient balance,Client: Email noting bill cannot be paid due to insufficient balance; request VC or CP contact within 48 hours.,Client: Reminder to contact VC or CP.,Client: Reminder advising bill will be rejected if no response within 48 hours.Supplier: Advised bill pending rejection due to insufficient balance.,Client: Bill rejected notification.Supplier: Bill rejected notification.,,Reject bill
,Client approval required,Care,Use when a record is flagged for exception and client approval is required before payment can proceed,"System: Auto communications issued advising approval required.Care Partner: Review exception details; confirm reason client approval is required; contact client to request approval; record client response; where approval is provided, confirm and progress record; where approval is not provided or no response is received, progress to rejection and notify supplier.",Ensure client consent is obtained before payment is made,Client approval is mandatory where flagged; payment cannot proceed without explicit approval; decisions must be recorded,Client approval confirmed and recorded; invoice progressed or rejected,Client approval required,Client: Approval request sent.Supplier: Invoice placed on hold pending client approval.,Client: Reminder approval required.Supplier: Update invoice remains on hold.,Client: Follow-up advising bill will be rejected if approval not received.Supplier: Advised bill pending rejection due to no client approval.,Client: Bill rejected notification.Supplier: Bill rejected notification.,,Reject bill
,Coordinator approval required,Care,Use when a record is flagged for exception and coordinator approval is required before payment can proceed,"System: Auto communications issued advising approval required.Care Partner: Review exception details; request coordinator approval; record coordinator response; where approval is provided, confirm and progress record; where approval is not provided or no response is received, progress to rejection and notify supplier.",Ensure appropriate care oversight before payment,Coordinator approval is mandatory where flagged; payment cannot proceed without approval; actions must be recorded,Coordinator approval confirmed and recorded; invoice progressed or rejected,Coordinator approval required,Coordinator: Approval request sent.Supplier: Invoice placed on hold pending coordinator approval.,,Coordinator: Follow-up advising bill will be rejected if approval not received.Supplier: Advised bill pending rejection due to no coordinator approval.,,,Reject bill
,Unplanned services reached maximum cap,Care,Use when unplanned services have reached the approved funding cap,"Care Partner: Review current spend against cap; assess whether services can continue within existing cap; review need for budget update; discuss options with client; where cap increase is approved, update budget; where no approval or funding is available, progress to rejection and notify supplier.",Prevent spending beyond approved caps,Spending must not exceed approved caps; budget updates are required for continuation,Budget updated and invoice progressed; or invoice rejected,Unplanned services reached maximum cap,Client: Contacted to confirm whether service should be added to budget.Supplier: Invoice placed on hold due to cap reached.,,Client: Advised bill will be rejected if budget update not approved.Supplier: Advised bill pending rejection due to cap not increased.,,,Reject bill
,Unverified funding stream,Care,Use when the invoiced service relates to a funding stream that has not been verified,"Care Partner: Identify unverified funding stream; review funding eligibility; confirm correct funding source; where funding is verified, update record; where funding cannot be verified, progress to rejection and notify supplier.",Ensure only verified funding streams are used,Funding streams must be verified before payment,Funding verified and invoice progressed; or invoice rejected,Unverified funding stream,Client: Contacted to confirm funding stream or budget update.Supplier: Invoice placed on hold due to unverified funding.,,Client: Advised bill will be rejected if funding not verified.Supplier: Advised bill pending rejection due to unverified funding.,,,Reject bill
,Unapproved services,Care,Use when the invoiced service is not included in the approved care plan or NOD,"Care Partner: Review invoiced service against approved care plan or NOD; confirm whether service can be approved; where approval is granted, update plan; where service is not approved, progress to rejection and notify supplier.",Prevent payment for services outside approved scope,Only approved services may be funded,Service approved and invoice progressed; or invoice rejected,Unapproved services,Client: Contacted to confirm whether service should be approved/added to plan.Supplier: Invoice placed on hold due to unapproved service.,,Client: Advised bill will be rejected if service not approved.Supplier: Advised bill pending rejection due to unapproved service.,,,Reject bill
,ATHM,Care,Use when the invoice relates to Assistive Technology and Home Modifications,"Care Partner: Identify ATHM invoice; remove from automated billing flow; manage assessment, approval, and processing manually in line with ATHM requirements.",Ensure ATHM items follow correct assessment and approval pathways,ATHM items are not processed via standard billing automation,Item assessed and processed manually,ATHM,,,,,,
,Exceeds budgeted rate,Care,Use when the invoiced rate exceeds the approved budgeted hourly rate,"Care Partner: Review invoiced rate against approved rate; assess whether rate increase can be approved; discuss options with client; where rate is approved, update budget; where rate is not approved, progress to rejection and notify supplier.",Prevent payment above approved rates,Rates must align with approved budget,Rate approved and invoice progressed; or invoice rejected,Exceeds budgeted rate,Client: Contacted to confirm whether rate increase should be approved.Supplier: Invoice placed on hold due to rate exceeding budget.,,Client: Advised bill will be rejected if rate not approved.Supplier: Advised bill pending rejection due to rate not approved.,,,Reject bill
,Exceeds budgeted quantity,Care,Use when the invoiced quantity exceeds the approved service quantity,"Care Partner: Review invoiced quantity against approved quantity; assess whether additional quantity can be approved; discuss options with client; where quantity is approved, update budget; where quantity is not approved, progress to rejection and notify supplier.",Prevent payment beyond approved quantities,Quantities must align with approved plan,Quantity approved and invoice progressed; or invoice rejected,Exceeds budgeted quantity,Client: Contacted to confirm whether additional quantity should be approved.Supplier: Invoice placed on hold due to quantity exceeded.,,Client: Advised bill will be rejected if quantity not approved.Supplier: Advised bill pending rejection due to quantity not approved.,,,Reject bill
,Commencement date,Care,Use when the service date is before the client’s commencement date,"Care Partner: Review service date; confirm with client whether service was provided; determine eligibility; where service is confirmed and eligible, progress; where not eligible, reject invoice and notify supplier.",Ensure services are billed within eligible dates,Services must fall within valid commencement period,Service confirmed and progressed; or invoice rejected,Commencement date,"Supplier: Rejection letter sent outlining service date, active period, and reason service is outside commencement date; advised to pursue payment directly with client if applicable.",,,,,Reject bill
,Termination date,Care,Use when the service date is after the client’s exit or termination date,"Care Partner: Review service date; confirm with client whether service was provided; determine eligibility; where service is confirmed and eligible, progress; where not eligible, reject invoice and notify supplier.",Ensure services are billed within active care period,Services must fall within approved care period,Service confirmed and progressed; or invoice rejected,Termination date,"Supplier: Rejection letter sent outlining service date, active period, and reason service is outside termination date; advised to pursue payment directly with client if applicable.",,,,,Reject bill
,Missing client bank details,Accounts,Use when the client record in MYOB does not contain valid bank details and payment cannot be processed,"Accounts: Identify missing or invalid client bank details; attempt to obtain correct bank details; record outcome; where bank details cannot be obtained, progress to rejection",Ensure payments are only made to verified bank accounts,Valid bank details are required before payment,Bank details obtained and payment proceeds; or bill rejected,Reject bill,Client: Contacted to request missing or corrected bank details.,,,Client: Notified bill rejected due to missing bank details.Supplier: Notified bill rejected.,,Reject bill
,Missing supplier bank details,Accounts,Use when the supplier record in MYOB does not contain valid bank details and payment cannot be processed,"Accounts: Identify missing or invalid supplier bank details; attempt to obtain correct bank details from supplier; record outcome; where bank details cannot be obtained, progress to rejection",Ensure payments are only made to verified supplier accounts,Valid supplier bank details are required before payment,Bank details obtained and payment proceeds; or bill rejected,Reject bill,Supplier: Contacted to request missing or corrected bank details.,,,Supplier: Notified bill rejected due to missing bank details.Client: Notified bill rejected.,,Reject bill
,No proof of payment,Accounts,Use when a reimbursement request is submitted without proof of payment,"Accounts: Identify missing proof of payment; request proof from client; record response; where proof cannot be obtained, progress to rejection",Ensure reimbursements are supported by evidence of payment,Proof of payment is required for reimbursement,Proof obtained and reimbursement proceeds; or bill rejected,Reject bill,Client: Contacted to request proof of payment.,,,Client: Notified bill rejected due to no proof of payment.,,Reject bill
,No source invoice,Accounts,Use when a reimbursement request is submitted without the original supplier invoice,"Accounts: Identify missing source invoice; request original invoice from client; record response; where invoice cannot be obtained, progress to rejection",Ensure reimbursements are supported by valid invoices,Original supplier invoice is mandatory,Invoice obtained and reimbursement proceeds; or bill rejected,Reject bill,Client: Contacted to request original supplier invoice.,,,Client: Notified bill rejected due to missing source invoice.,,Reject bill
,Finance QA failure,Accounts,Use when a bill fails final Finance QA review,"Finance: Identify QA failure; document issue; where QA failure cannot be resolved, reject bill",Prevent payment of bills that fail finance quality assurance,Bills must pass Finance QA before payment,QA issue resolved and bill proceeds; or bill rejected,Reject bill,,,,Client: Notified bill rejected following Finance QA failure.Supplier: Notified bill rejected.,,Reject bill
,Other,Accounts,Use when the issue does not fit into another defined accounts reason and requires review,"Accounts: Review issue; determine appropriate resolution path; communicate with supplier if required; where issue cannot be resolved, progress to rejection",Ensure undefined issues are reviewed and resolved consistently,All bills must meet minimum processing requirements,Issue resolved and bill proceeds; or bill rejected,Reject bill,Supplier: Contacted regarding issue requiring clarification.,Supplier: Follow-up reminder sent if clarification not received.,,Supplier: Notified bill rejected if unresolved.,,Reject bill
